ID_Registro,Marca de la Unidad,Año del Vehículo,Ciudad Agencia,Estado de la ciudad o Agencia,Refaccion,Precio,Fecha Compra
3904,VOLKSWAGEN,2018,GUSTAVO A MADERO,CIUDAD DE MÉXICO,FACIA DELANTERA,611,03/07/2019
3905,VOLKSWAGEN,2018,GUSTAVO A MADERO,CIUDAD DE MÉXICO,FACIA DELANTERA,195,03/07/2019
3906,VOLKSWAGEN,2018,GUSTAVO A MADERO,CIUDAD DE MÉXICO,FACIA DELANTERA,5462,03/07/2019
3907,VOLKSWAGEN,2018,GUSTAVO A MADERO,CIUDAD DE MÉXICO,FARO,3709,03/07/2019
3908,VOLKSWAGEN,2018,GUSTAVO A MADERO,CIUDAD DE MÉXICO,FARO,3709,03/07/2019
3909,VOLKSWAGEN,2018,GUSTAVO A MADERO,CIUDAD DE MÉXICO,FACIA DELANTERA,222,03/07/2019
3910,VOLKSWAGEN,2018,GUSTAVO A MADERO,CIUDAD DE MÉXICO,FACIA DELANTERA,222,03/07/2019
3911,VOLKSWAGEN,2018,GUSTAVO A MADERO,CIUDAD DE MÉXICO,FACIA DELANTERA,3483,03/07/2019
3912,VOLKSWAGEN,2018,GUSTAVO A MADERO,CIUDAD DE MÉXICO,FACIA DELANTERA,611,03/07/2019
3913,KIA,2017,GUADALAJARA,JALISCO,FACIA TRASERA,1803,16/07/2019
3914,KIA,2017,GUADALAJARA,JALISCO,FACIA TRASERA,200,16/07/2019
3915,KIA,2017,GUADALAJARA,JALISCO,PUERTA DELANTERA,5631,16/07/2019
3916,KIA,2017,GUADALAJARA,JALISCO,FACIA TRASERA,5551,16/07/2019
3917,KIA,2017,GUADALAJARA,JALISCO,FACIA TRASERA,2661,16/07/2019
3918,KIA,2017,GUADALAJARA,JALISCO,FACIA TRASERA,213,16/07/2019
3919,KIA,2017,GUADALAJARA,JALISCO,FACIA DELANTERA,1803,05/08/2019
3920,KIA,2017,GUADALAJARA,JALISCO,LLANTA,3900,05/08/2019
3921,KIA,2017,GUADALAJARA,JALISCO,LLANTA,2595,05/07/2019
3922,NISSAN,2010,LEÓN,GUANAJUATO,FACIA TRASERA,622,04/07/2019
3923,TOYOTA,2018,ZAPOPAN,JALISCO,FACIA TRASERA,3380,12/07/2019
3924,TOYOTA,2018,ZAPOPAN,JALISCO,FACIA DELANTERA,1397,12/07/2019
3925,TOYOTA,2018,ZAPOPAN,JALISCO,FACIA DELANTERA,466,12/07/2019
3926,TOYOTA,2018,ZAPOPAN,JALISCO,FACIA DELANTERA,3125,12/07/2019
3927,TOYOTA,2018,ZAPOPAN,JALISCO,FACIA TRASERA,1949,12/07/2019
3928,VOLKSWAGEN,2017,GUADALAJARA,JALISCO,FACIA TRASERA,5233,22/07/2019
3929,VOLKSWAGEN,2017,GUADALAJARA,JALISCO,FACIA TRASERA,148,22/07/2019
3930,HONDA,2009,COYOACAN,CIUDAD DE MÉXICO,FACIA TRASERA,950,09/07/2019
3931,VOLKSWAGEN,2018,MIGUEL HIDALGO,CIUDAD DE MÉXICO,FARO,690,05/07/2019
3932,VOLKSWAGEN,2018,MIGUEL HIDALGO,CIUDAD DE MÉXICO,LLANTA,1855,05/07/2019
3933,VOLKSWAGEN,2018,MIGUEL HIDALGO,CIUDAD DE MÉXICO,FARO,3150,05/07/2019
3934,VOLKSWAGEN,2018,MIGUEL HIDALGO,CIUDAD DE MÉXICO,FACIA DELANTERA,3312,05/07/2019
3935,SEAT,2017,ZAPOPAN,JALISCO,PUERTA TRASERA,977,04/07/2019
3936,KIA,2018,ZAPOPAN,JALISCO,FARO,19485,04/04/2019
3937,KIA,2018,ZAPOPAN,JALISCO,FACIA DELANTERA,361,04/04/2019
3938,KIA,2018,ZAPOPAN,JALISCO,FARO,553,04/04/2019
3939,KIA,2018,ZAPOPAN,JALISCO,FACIA DELANTERA,1200,04/04/2019
3940,KIA,2018,ZAPOPAN,JALISCO,FACIA DELANTERA,2931,04/04/2019
3941,KIA,2018,ZAPOPAN,JALISCO,FARO,4756,04/04/2019
3942,KIA,2018,ZAPOPAN,JALISCO,FARO,5409,04/04/2019
3943,KIA,2018,ZAPOPAN,JALISCO,FACIA DELANTERA,3708,04/04/2019
3944,KIA,2018,ZAPOPAN,JALISCO,LLANTA,2909,10/04/2019
3945,SEAT,2019,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,LLANTA,3850,10/08/2019
3946,SEAT,2019,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FARO,674,13/08/2019
3947,SEAT,2019,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA DELANTERA,5354,13/08/2019
3948,SEAT,2019,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA TRASERA,290,21/08/2019
3949,SEAT,2019,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA DELANTERA,200,10/08/2019
3950,SEAT,2019,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FARO,1311,10/08/2019
3951,SEAT,2019,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA DELANTERA,244,10/08/2019
3952,SEAT,2019,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FARO,3040,10/08/2019
3953,VOLKSWAGEN,2019,TLALPAN,CIUDAD DE MÉXICO,FARO,3150,07/08/2019
3954,VOLKSWAGEN,2019,TLALPAN,CIUDAD DE MÉXICO,FARO,690,07/08/2019
3955,VOLKSWAGEN,2018,VENUSTIANO CARRANZA,CIUDAD DE MÉXICO,FACIA DELANTERA,4721,08/08/2019
3956,VOLKSWAGEN,2018,VENUSTIANO CARRANZA,CIUDAD DE MÉXICO,FACIA DELANTERA,666,08/08/2019
3957,VOLKSWAGEN,2018,VENUSTIANO CARRANZA,CIUDAD DE MÉXICO,FACIA DELANTERA,1311,08/08/2019
3958,VOLKSWAGEN,2018,VENUSTIANO CARRANZA,CIUDAD DE MÉXICO,FACIA DELANTERA,279,08/08/2019
3959,VOLKSWAGEN,2018,VENUSTIANO CARRANZA,CIUDAD DE MÉXICO,FACIA DELANTERA,279,08/08/2019
3960,VOLKSWAGEN,2018,VENUSTIANO CARRANZA,CIUDAD DE MÉXICO,FARO,3709,08/08/2019
3961,VOLKSWAGEN,2018,VENUSTIANO CARRANZA,CIUDAD DE MÉXICO,FACIA DELANTERA,666,08/08/2019
3962,VOLKSWAGEN,2018,VENUSTIANO CARRANZA,CIUDAD DE MÉXICO,FACIA DELANTERA,7803,08/08/2019
3963,SEAT,2019,ALVARO OBREGON,CIUDAD DE MÉXICO,FACIA TRASERA,6089,06/08/2019
3964,FORD,2013,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FARO,21936,18/08/2019
3965,FORD,2013,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FARO,21986,18/08/2019
3966,FORD,2016,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,PUERTA TRASERA,8987,19/08/2019
3967,DODGE,2018,IZTACALCO,CIUDAD DE MÉXICO,FACIA TRASERA,303,17/08/2019
3968,DODGE,2018,IZTACALCO,CIUDAD DE MÉXICO,FACIA TRASERA,5705,17/08/2019
3969,DODGE,2018,IZTACALCO,CIUDAD DE MÉXICO,FACIA TRASERA,303,17/08/2019
3970,VOLKSWAGEN,2019,IZTAPALAPA,CIUDAD DE MÉXICO,FACIA TRASERA,745,17/08/2019
3971,VOLKSWAGEN,2018,ALVARO OBREGON,CIUDAD DE MÉXICO,FACIA TRASERA,410,17/08/2019
3972,VOLKSWAGEN,2018,ALVARO OBREGON,CIUDAD DE MÉXICO,FACIA TRASERA,3312,17/08/2019
3973,VOLKSWAGEN,2018,ALVARO OBREGON,CIUDAD DE MÉXICO,FACIA TRASERA,410,17/08/2019
3974,VOLKSWAGEN,2019,IZTAPALAPA,CIUDAD DE MÉXICO,FARO,3150,17/08/2019
3975,VOLKSWAGEN,2019,IZTAPALAPA,CIUDAD DE MÉXICO,FACIA DELANTERA,3312,17/08/2019
3976,SUZUKI,2016,COYOACAN,CIUDAD DE MÉXICO,PUERTA TRASERA,6000,20/08/2019
3977,SUZUKI,2016,COYOACAN,CIUDAD DE MÉXICO,PUERTA DELANTERA,6500,20/08/2019
3978,SEAT,2018,AZCAPOTZALCO,CIUDAD DE MÉXICO,PUERTA TRASERA,11230,17/08/2019
3979,SEAT,2018,AZCAPOTZALCO,CIUDAD DE MÉXICO,PUERTA DELANTERA,12997,17/08/2019
3980,AUDI,2015,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FARO,38159,30/08/2019
3981,AUDI,2015,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA DELANTERA,16994,30/08/2019
3982,AUDI,2015,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA DELANTERA,371,30/08/2019
3983,AUDI,2015,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FARO,1209,30/08/2019
