Category,Group,Sub-Group,Account,Year,Month,Amount
Assets,Current Assets,Cash & Bank Balances,10008,2017,October,6648
Assets,Current Assets,Cash & Bank Balances,10008,2017,November,2267
Assets,Current Assets,Cash & Bank Balances,10008,2017,December,37671
Assets,Current Assets,Cash & Bank Balances,10008,2018,January,20134
Assets,Current Assets,Cash & Bank Balances,10009,2017,May,0
Assets,Current Assets,Cash & Bank Balances,10009,2017,November,'-34350
Assets,Current Assets,Cash & Bank Balances,10010,2017,January,41685
Assets,Current Assets,Cash & Bank Balances,10010,2017,February,23126
Assets,Current Assets,Cash & Bank Balances,10010,2017,March,43873
Assets,Current Assets,Cash & Bank Balances,10010,2017,April,37975
Assets,Current Assets,Cash & Bank Balances,10010,2017,May,26429
Assets,Current Assets,Cash & Bank Balances,10010,2017,June,30045
Assets,Current Assets,Cash & Bank Balances,10010,2017,July,32165
Assets,Current Assets,Cash & Bank Balances,10010,2017,August,4435
Assets,Current Assets,Cash & Bank Balances,10010,2017,September,6937
Assets,Current Assets,Cash & Bank Balances,10010,2017,October,39337
Assets,Current Assets,Cash & Bank Balances,10010,2017,November,14315
Assets,Current Assets,Cash & Bank Balances,10010,2017,December,3887
Assets,Current Assets,Cash & Bank Balances,10010,2018,January,6746
Assets,Current Assets,Cash & Bank Balances,10011,2017,December,4000
Assets,Current Assets,"Deposits, Advances & Prepayments",11500,2017,January,97000
Assets,Current Assets,"Deposits, Advances & Prepayments",11500,2017,February,100000
Assets,Current Assets,"Deposits, Advances & Prepayments",11500,2017,March,106000
Assets,Current Assets,"Deposits, Advances & Prepayments",11500,2017,April,109000
Assets,Current Assets,"Deposits, Advances & Prepayments",11500,2017,May,124000
Assets,Current Assets,"Deposits, Advances & Prepayments",11500,2017,June,124000
Assets,Current Assets,"Deposits, Advances & Prepayments",11500,2017,July,127000
Assets,Current Assets,"Deposits, Advances & Prepayments",11500,2017,August,133000
Assets,Current Assets,"Deposits, Advances & Prepayments",11500,2017,September,138250
Assets,Current Assets,"Deposits, Advances & Prepayments",11500,2017,October,141250
Assets,Current Assets,"Deposits, Advances & Prepayments",11500,2017,November,142000
Assets,Current Assets,"Deposits, Advances & Prepayments",11500,2017,December,145000
Assets,Current Assets,"Deposits, Advances & Prepayments",11500,2018,January,25000
Assets,Current Assets,"Deposits, Advances & Prepayments",11501,2017,January,84415
Assets,Current Assets,"Deposits, Advances & Prepayments",11501,2017,February,103665
Assets,Current Assets,"Deposits, Advances & Prepayments",11501,2017,March,105665
Assets,Current Assets,"Deposits, Advances & Prepayments",11501,2017,April,115665
Assets,Current Assets,"Deposits, Advances & Prepayments",11501,2017,May,118115
Assets,Current Assets,"Deposits, Advances & Prepayments",11501,2017,June,118115
Assets,Current Assets,"Deposits, Advances & Prepayments",11501,2017,July,118115
Assets,Current Assets,"Deposits, Advances & Prepayments",11501,2017,August,118115
Assets,Current Assets,"Deposits, Advances & Prepayments",11501,2017,September,118115
Assets,Current Assets,"Deposits, Advances & Prepayments",11501,2017,October,118115
Assets,Current Assets,"Deposits, Advances & Prepayments",11501,2017,November,111523
Assets,Current Assets,"Deposits, Advances & Prepayments",11501,2017,December,111523
Assets,Current Assets,"Deposits, Advances & Prepayments",11501,2018,January,19423
Assets,Current Assets,"Deposits, Advances & Prepayments",11502,2017,January,1500
Assets,Current Assets,"Deposits, Advances & Prepayments",11502,2017,February,1735
Assets,Current Assets,"Deposits, Advances & Prepayments",11502,2017,March,25235
Assets,Current Assets,"Deposits, Advances & Prepayments",11502,2017,April,115960
Assets,Current Assets,"Deposits, Advances & Prepayments",11502,2017,May,115960
Assets,Current Assets,"Deposits, Advances & Prepayments",11502,2017,June,132360
Assets,Current Assets,"Deposits, Advances & Prepayments",11502,2017,July,124200
Assets,Current Assets,"Deposits, Advances & Prepayments",11502,2017,August,45960
Assets,Current Assets,"Deposits, Advances & Prepayments",11502,2017,September,96804
Assets,Current Assets,"Deposits, Advances & Prepayments",11502,2017,October,336841
Assets,Current Assets,"Deposits, Advances & Prepayments",11502,2017,November,30477
Assets,Current Assets,"Deposits, Advances & Prepayments",11502,2017,December,8852
Assets,Current Assets,"Deposits, Advances & Prepayments",11502,2018,January,11042
Assets,Current Assets,"Deposits, Advances & Prepayments",11504,2017,January,122380
Assets,Current Assets,"Deposits, Advances & Prepayments",11504,2017,February,183515
Assets,Current Assets,"Deposits, Advances & Prepayments",11504,2017,March,168103
Assets,Current Assets,"Deposits, Advances & Prepayments",11504,2017,April,201321
Assets,Current Assets,"Deposits, Advances & Prepayments",11504,2017,May,215230
Assets,Current Assets,"Deposits, Advances & Prepayments",11504,2017,June,222282
Assets,Current Assets,"Deposits, Advances & Prepayments",11504,2017,July,187511
Assets,Current Assets,"Deposits, Advances & Prepayments",11504,2017,August,160609
Assets,Current Assets,"Deposits, Advances & Prepayments",11504,2017,September,146726
Assets,Current Assets,"Deposits, Advances & Prepayments",11504,2017,October,132381
Assets,Current Assets,"Deposits, Advances & Prepayments",11504,2017,November,118499
Assets,Current Assets,"Deposits, Advances & Prepayments",11504,2017,December,114374
Assets,Current Assets,"Deposits, Advances & Prepayments",11504,2018,January,816087
Assets,Current Assets,"Deposits, Advances & Prepayments",11505,2017,January,116731
Assets,Current Assets,"Deposits, Advances & Prepayments",11505,2017,February,109497
Assets,Current Assets,"Deposits, Advances & Prepayments",11505,2017,March,98852
Assets,Current Assets,"Deposits, Advances & Prepayments",11505,2017,April,88414
Assets,Current Assets,"Deposits, Advances & Prepayments",11505,2017,May,83578
Assets,Current Assets,"Deposits, Advances & Prepayments",11505,2017,June,78269
Assets,Current Assets,"Deposits, Advances & Prepayments",11505,2017,July,68520
Assets,Current Assets,"Deposits, Advances & Prepayments",11505,2017,August,59071
Assets,Current Assets,"Deposits, Advances & Prepayments",11505,2017,September,55478
Assets,Current Assets,"Deposits, Advances & Prepayments",11505,2017,October,47235
Assets,Current Assets,"Deposits, Advances & Prepayments",11505,2017,November,54055
Assets,Current Assets,"Deposits, Advances & Prepayments",11505,2017,December,255259
Assets,Current Assets,"Deposits, Advances & Prepayments",11505,2018,January,197980
Assets,Current Assets,"Deposits, Advances & Prepayments",11506,2017,January,398874
Assets,Current Assets,"Deposits, Advances & Prepayments",11506,2017,February,253904
Assets,Current Assets,"Deposits, Advances & Prepayments",11506,2017,March,365762
Assets,Current Assets,"Deposits, Advances & Prepayments",11506,2017,April,488150
Assets,Current Assets,"Deposits, Advances & Prepayments",11506,2017,May,543172
Assets,Current Assets,"Deposits, Advances & Prepayments",11506,2017,June,614010
Assets,Current Assets,"Deposits, Advances & Prepayments",11506,2017,July,712461
Assets,Current Assets,"Deposits, Advances & Prepayments",11506,2017,August,981462
Assets,Current Assets,"Deposits, Advances & Prepayments",11506,2017,September,997563
Assets,Current Assets,"Deposits, Advances & Prepayments",11506,2017,October,993042
Assets,Current Assets,"Deposits, Advances & Prepayments",11506,2017,November,1201025
Assets,Current Assets,"Deposits, Advances & Prepayments",11506,2017,December,1304546
Assets,Current Assets,"Deposits, Advances & Prepayments",11506,2018,January,1412781
Assets,Current Assets,"Deposits, Advances & Prepayments",11510,2017,January,1037511
Assets,Current Assets,"Deposits, Advances & Prepayments",11510,2017,February,944346
Assets,Current Assets,"Deposits, Advances & Prepayments",11510,2017,March,841199
Assets,Current Assets,"Deposits, Advances & Prepayments",11510,2017,April,741406
Assets,Current Assets,"Deposits, Advances & Prepayments",11510,2017,May,466791
Assets,Current Assets,"Deposits, Advances & Prepayments",11510,2017,June,404294
Assets,Current Assets,"Deposits, Advances & Prepayments",11510,2017,July,339654
Assets,Current Assets,"Deposits, Advances & Prepayments",11510,2017,August,275014
Assets,Current Assets,"Deposits, Advances & Prepayments",11510,2017,September,212459
Assets,Current Assets,"Deposits, Advances & Prepayments",11510,2017,October,147818
Assets,Current Assets,"Deposits, Advances & Prepayments",11510,2017,November,85264
Assets,Current Assets,"Deposits, Advances & Prepayments",11510,2017,December,20623
Assets,Current Assets,"Deposits, Advances & Prepayments",11511,2017,January,67635
Assets,Current Assets,"Deposits, Advances & Prepayments",11511,2017,February,60616
Assets,Current Assets,"Deposits, Advances & Prepayments",11511,2017,March,53247
Assets,Current Assets,"Deposits, Advances & Prepayments",11511,2017,April,48635
Assets,Current Assets,"Deposits, Advances & Prepayments",11511,2017,May,45864
Assets,Current Assets,"Deposits, Advances & Prepayments",11511,2017,June,82880
Assets,Current Assets,"Deposits, Advances & Prepayments",11511,2017,July,50512
Assets,Current Assets,"Deposits, Advances & Prepayments",11511,2017,August,104797
Assets,Current Assets,"Deposits, Advances & Prepayments",11511,2017,September,78808
Assets,Current Assets,"Deposits, Advances & Prepayments",11511,2017,October,76742
Assets,Current Assets,"Deposits, Advances & Prepayments",11511,2017,November,61752
Assets,Current Assets,"Deposits, Advances & Prepayments",11511,2017,December,53489
